mechanism,patient,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S2,A0NVTRV,30,tree-ad-ph_d_0005-t_90,20.59,16.0,445.28,0.0012,2284.36
S2,A0NVTRV,30,tree-ad-ph_d_0005-t_95,20.61,16.0,444.91,0.0012,2284.06
S2,A0NVTRV,30,tree-ad-ph_d_01-t_90,21.29,17.0,441.57,0.0012,2283.35
S2,A0NVTRV,30,tree-ad-ph_d_01-t_95,23.51,19.0,443.82,0.0012,2282.64
S2,A0NVTRV,30,tree-ad-ph_d_02-t_90,20.82,14.0,440.04,0.0012,2282.8
S2,A0NVTRV,30,tree-ad-ph_d_02-t_95,21.16,14.0,441.45,0.0012,2282.24
S3,A0NVTRV,30,tree-ad-ph_d_0005-t_90,22.81,16.0,444.74,0.0012,2293.05
S3,A0NVTRV,30,tree-ad-ph_d_0005-t_95,19.44,15.0,438.88,0.0012,2292.47
S3,A0NVTRV,30,tree-ad-ph_d_01-t_90,21.0,17.0,446.54,0.0012,2290.63
S3,A0NVTRV,30,tree-ad-ph_d_01-t_95,21.47,16.0,445.98,0.0012,2290.46
S3,A0NVTRV,30,tree-ad-ph_d_02-t_90,18.45,15.0,448.85,0.0012,2290.25
S3,A0NVTRV,30,tree-ad-ph_d_02-t_95,21.0,16.0,447.16,0.0012,2289.88
S1,A0NVTRV,30,tree-ad-ph_d_0005-t_90,11.21,4.0,425.62,0.0011,2260.04
S1,A0NVTRV,30,tree-ad-ph_d_0005-t_95,14.43,4.0,421.72,0.0011,2259.08
S1,A0NVTRV,30,tree-ad-ph_d_01-t_90,12.89,4.0,424.13,0.0011,2257.99
S1,A0NVTRV,30,tree-ad-ph_d_01-t_95,12.82,5.0,421.43,0.0011,2258.2
S1,A0NVTRV,30,tree-ad-ph_d_02-t_90,13.18,4.0,424.24,0.0011,2257.87
S1,A0NVTRV,30,tree-ad-ph_d_02-t_95,11.31,4.0,422.66,0.0011,2257.38
